observation_month,brand,lta_make,trailing_12m_start,trailing_12m_end,brand_registrations,all_make_registrations,market_share_weight,source_url
2025-03,BMW,B.M.W.,2024-03,2025-02,5118.0,44949.0,0.11386237736100914,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-03,BYD,BYD,2024-03,2025-02,6872.0,44949.0,0.15288438007519634,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-03,Dongfeng,DONGFENG,2024-03,2025-02,81.0,44949.0,0.0018020423146232396,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-03,GAC,GAC,2024-03,2025-02,388.0,44949.0,0.008632005161405148,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-03,Honda,HONDA,2024-03,2025-02,4071.0,44949.0,0.09056931188680505,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-03,Hyundai,HYUNDAI,2024-03,2025-02,2128.0,44949.0,0.047342543771830295,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-03,Jaecoo,CHERY,2024-03,2025-02,174.0,44949.0,0.003871053861042515,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-03,Kia,KIA,2024-03,2025-02,1333.0,44949.0,0.029655832165342944,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-03,Lexus,TOYOTA,2024-03,2025-02,7869.0,44949.0,0.1750650737502503,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-03,MG,M.G.,2024-03,2025-02,529.0,44949.0,0.011768893635008566,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-03,Mazda,MAZDA,2024-03,2025-02,1284.0,44949.0,0.0285657078021758,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-03,Mercedes-Benz,MERCEDES BENZ,2024-03,2025-02,5270.0,44949.0,0.1172439876304256,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-03,Nissan,NISSAN,2024-03,2025-02,1593.0,44949.0,0.035440165520923717,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-03,Omoda,CHERY,2024-03,2025-02,174.0,44949.0,0.003871053861042515,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-03,Porsche,PORSCHE,2024-03,2025-02,683.0,44949.0,0.01519499877639102,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-03,Suzuki,SUZUKI,2024-03,2025-02,294.0,44949.0,0.00654074617900287,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-03,Tesla,TESLA,2024-03,2025-02,2509.0,44949.0,0.05581881688135443,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-03,Toyota,TOYOTA,2024-03,2025-02,7869.0,44949.0,0.1750650737502503,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-03,Volvo,VOLVO,2024-03,2025-02,576.0,44949.0,0.012814523126209704,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-03,XPENG,XPENG,2024-03,2025-02,431.0,44949.0,0.009588644908674275,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-03,ZEEKR,ZEEKR,2024-03,2025-02,139.0,44949.0,0.0030923936016374115,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-04,Aion,GAC,2024-04,2025-03,469.0,45774.0,0.010245991174028924,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-04,Audi,AUDI,2024-04,2025-03,561.0,45774.0,0.012255865775330974,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-04,BMW,B.M.W.,2024-04,2025-03,5211.0,45774.0,0.11384191899331499,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-04,BYD,BYD,2024-04,2025-03,7178.0,45774.0,0.1568139118276751,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-04,Dongfeng,DONGFENG,2024-04,2025-03,106.0,45774.0,0.002315725084108883,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-04,GAC,GAC,2024-04,2025-03,469.0,45774.0,0.010245991174028924,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-04,Honda,HONDA,2024-04,2025-03,4360.0,45774.0,0.09525057893127102,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-04,Hyundai,HYUNDAI,2024-04,2025-03,2068.0,45774.0,0.04517848560318084,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-04,Jaecoo,CHERY,2024-04,2025-03,206.0,45774.0,0.00450037138987198,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
