category,dealer_model_version,model,observations,MAE,RMSE,direction_accuracy,interval_coverage,mean_interval_width,MAE_improvement_vs_structural,RMSE_improvement_vs_structural
Category A,v0.8-dealer-residual-ridge-20-brand-groups-post-2015-1,structural,51,3326.590827515801,4270.218194488398,0.6862745098039216,0.6666666666666666,7882.7426009463115,0.0,0.0
Category A,v0.8-dealer-residual-ridge-20-brand-groups-post-2015-1,structural_plus_dealer,51,3284.333746060082,4268.945440589709,0.6862745098039216,0.9230769230769231,12934.362521870025,0.012702819086191981,0.0002980535983692687
Category A,v0.8-dealer-residual-ridge-20-brand-groups-post-2015-1,persistence,51,3583.4117647058824,4638.269006057003,0.0196078431372549,,,-0.07720244253239521,-0.08619016518726166
Category B,v0.8-dealer-residual-ridge-20-brand-groups-post-2015-1,structural,51,4348.4070851248525,5506.498992408839,0.5098039215686274,0.7058823529411765,10769.364933479768,0.0,0.0
Category B,v0.8-dealer-residual-ridge-20-brand-groups-post-2015-1,structural_plus_dealer,51,4814.160259826033,6289.464674907957,0.47058823529411764,0.8205128205128205,14322.602686149265,-0.10710891726178115,-0.14218938087131233
Category B,v0.8-dealer-residual-ridge-20-brand-groups-post-2015-1,persistence,51,4461.21568627451,5788.530894930823,0.0,,,-0.025942511577528186,-0.051218006742721346
